id,left,top,right,bottom
"309",-7595445.3184,5524552.5861,-7595425.3184,5524532.5861
"310",-7595445.3184,5524532.5861,-7595425.3184,5524512.5861
"326",-7595425.3184,5524692.5861,-7595405.3184,5524672.5861
"327",-7595425.3184,5524672.5861,-7595405.3184,5524652.5861
"328",-7595425.3184,5524652.5861,-7595405.3184,5524632.5861
"329",-7595425.3184,5524632.5861,-7595405.3184,5524612.5861
"332",-7595425.3184,5524572.5861,-7595405.3184,5524552.5861
"333",-7595425.3184,5524552.5861,-7595405.3184,5524532.5861
"334",-7595425.3184,5524532.5861,-7595405.3184,5524512.5861
"351",-7595405.3184,5524672.5861,-7595385.3184,5524652.5861
"352",-7595405.3184,5524652.5861,-7595385.3184,5524632.5861
"356",-7595405.3184,5524572.5861,-7595385.3184,5524552.5861
"357",-7595405.3184,5524552.5861,-7595385.3184,5524532.5861
"358",-7595405.3184,5524532.5861,-7595385.3184,5524512.5861
"359",-7595405.3184,5524512.5861,-7595385.3184,5524492.5861
"381",-7595385.3184,5524552.5861,-7595365.3184,5524532.5861
"382",-7595385.3184,5524532.5861,-7595365.3184,5524512.5861
"383",-7595385.3184,5524512.5861,-7595365.3184,5524492.5861
"404",-7595365.3184,5524572.5861,-7595345.3184,5524552.5861
"405",-7595365.3184,5524552.5861,-7595345.3184,5524532.5861
"406",-7595365.3184,5524532.5861,-7595345.3184,5524512.5861
"407",-7595365.3184,5524512.5861,-7595345.3184,5524492.5861
"428",-7595345.3184,5524572.5861,-7595325.3184,5524552.5861
"429",-7595345.3184,5524552.5861,-7595325.3184,5524532.5861
"430",-7595345.3184,5524532.5861,-7595325.3184,5524512.5861
"431",-7595345.3184,5524512.5861,-7595325.3184,5524492.5861
"454",-7595325.3184,5524532.5861,-7595305.3184,5524512.5861
"455",-7595325.3184,5524512.5861,-7595305.3184,5524492.5861
